"gender" "Age" "Points" "Attitude" "surf" "deep" "stra"
"1" "F" 53 25 37 2.63636363636364 3.58333333333333 3.375
"2" "M" 55 12 31 3.09090909090909 2.91666666666667 2.75
"3" "F" 49 24 25 2.18181818181818 3.5 3.625
"4" "M" 53 10 35 2.27272727272727 3.5 3.125
"5" "M" 49 22 37 2.81818181818182 3.66666666666667 3.625
"6" "F" 38 21 38 2.45454545454545 4.75 3.625
"7" "M" 50 21 35 1.81818181818182 3.83333333333333 2.25
"8" "F" 37 31 29 2.81818181818182 3.25 4
"9" "M" 37 24 38 2 4.33333333333333 4.25
"10" "F" 42 26 21 2.90909090909091 4 3.5
"11" "M" 37 31 39 2.63636363636364 3.58333333333333 3.625
"12" "F" 34 31 38 2.27272727272727 3.83333333333333 4.75
"13" "F" 34 23 24 2.36363636363636 4.25 3.625
"14" "F" 34 25 30 2.72727272727273 3.33333333333333 3.5
"15" "M" 35 21 26 2.36363636363636 4.16666666666667 1.75
"16" "F" 33 31 41 2.27272727272727 3.66666666666667 3.875
"17" "F" 32 20 26 2.81818181818182 4.08333333333333 1.375
"18" "F" 44 22 26 2.45454545454545 3.5 3.25
"19" "M" 29 9 17 3.72727272727273 4.08333333333333 3
"20" "F" 30 24 27 2.81818181818182 4 3.75
"21" "M" 27 28 39 2.36363636363636 3.91666666666667 2.625
"22" "M" 29 30 34 2.36363636363636 4 2.375
"23" "F" 31 24 27 3 4 3.625
"24" "F" 37 9 23 2.45454545454545 3.66666666666667 2.75
"25" "F" 26 26 37 2.72727272727273 3.66666666666667 1.75
"26" "F" 26 32 44 3 4.41666666666667 3.25
"27" "M" 30 32 41 2.90909090909091 3.91666666666667 4
"28" "F" 33 33 37 2.09090909090909 3.75 3.625
"29" "F" 33 29 25 3.45454545454545 3.25 2.875
"30" "M" 28 30 30 3.63636363636364 3.58333333333333 3
"31" "M" 26 19 34 2.63636363636364 4.91666666666667 1.625
"32" "F" 27 23 32 2.18181818181818 3.58333333333333 3.25
"33" "F" 25 19 20 2.45454545454545 2.91666666666667 3.5
"34" "F" 31 12 24 2.54545454545455 3.66666666666667 3
"35" "M" 20 10 42 1.63636363636364 4.5 3.25
"36" "F" 39 11 16 3 4.08333333333333 1.875
"37" "M" 38 20 31 1.90909090909091 3.83333333333333 4.375
"38" "M" 24 26 38 2.54545454545455 3.25 3.625
"39" "M" 26 31 38 3.18181818181818 2.33333333333333 2.5
"40" "M" 25 20 33 3.36363636363636 3.33333333333333 1.25
"41" "F" 30 23 17 3.54545454545455 4.08333333333333 4
"42" "F" 25 12 25 3.09090909090909 2.91666666666667 3
"43" "M" 30 24 32 3.45454545454545 3.33333333333333 2.5
"44" "F" 48 17 35 2.81818181818182 3.83333333333333 4.875
"45" "F" 24 29 32 2.54545454545455 3.66666666666667 5
"46" "F" 40 23 42 3.54545454545455 4.66666666666667 4.375
