"surf" "Age" "deep" "Attitude" "stra" "gender" "Points"
"1" 2.63636363636364 53 3.58333333333333 37 3.375 "F" 25
"2" 3.09090909090909 55 2.91666666666667 31 2.75 "M" 12
"3" 2.18181818181818 49 3.5 25 3.625 "F" 24
"4" 2.27272727272727 53 3.5 35 3.125 "M" 10
"5" 2.81818181818182 49 3.66666666666667 37 3.625 "M" 22
"6" 2.45454545454545 38 4.75 38 3.625 "F" 21
"7" 1.81818181818182 50 3.83333333333333 35 2.25 "M" 21
"8" 2.81818181818182 37 3.25 29 4 "F" 31
"9" 2 37 4.33333333333333 38 4.25 "M" 24
"10" 2.90909090909091 42 4 21 3.5 "F" 26
"11" 2.63636363636364 37 3.58333333333333 39 3.625 "M" 31
"12" 2.27272727272727 34 3.83333333333333 38 4.75 "F" 31
"13" 2.36363636363636 34 4.25 24 3.625 "F" 23
"14" 2.72727272727273 34 3.33333333333333 30 3.5 "F" 25
"15" 2.36363636363636 35 4.16666666666667 26 1.75 "M" 21
"16" 2.27272727272727 33 3.66666666666667 41 3.875 "F" 31
"17" 2.81818181818182 32 4.08333333333333 26 1.375 "F" 20
"18" 2.45454545454545 44 3.5 26 3.25 "F" 22
"19" 3.72727272727273 29 4.08333333333333 17 3 "M" 9
"20" 2.81818181818182 30 4 27 3.75 "F" 24
"21" 2.36363636363636 27 3.91666666666667 39 2.625 "M" 28
"22" 2.36363636363636 29 4 34 2.375 "M" 30
"23" 3 31 4 27 3.625 "F" 24
"24" 2.45454545454545 37 3.66666666666667 23 2.75 "F" 9
"25" 2.72727272727273 26 3.66666666666667 37 1.75 "F" 26
"26" 3 26 4.41666666666667 44 3.25 "F" 32
"27" 2.90909090909091 30 3.91666666666667 41 4 "M" 32
"28" 2.09090909090909 33 3.75 37 3.625 "F" 33
"29" 3.45454545454545 33 3.25 25 2.875 "F" 29
"30" 3.63636363636364 28 3.58333333333333 30 3 "M" 30
"31" 2.63636363636364 26 4.91666666666667 34 1.625 "M" 19
"32" 2.18181818181818 27 3.58333333333333 32 3.25 "F" 23
"33" 2.45454545454545 25 2.91666666666667 20 3.5 "F" 19
"34" 2.54545454545455 31 3.66666666666667 24 3 "F" 12
"35" 1.63636363636364 20 4.5 42 3.25 "M" 10
"36" 3 39 4.08333333333333 16 1.875 "F" 11
"37" 1.90909090909091 38 3.83333333333333 31 4.375 "M" 20
"38" 2.54545454545455 24 3.25 38 3.625 "M" 26
"39" 3.18181818181818 26 2.33333333333333 38 2.5 "M" 31
"40" 3.36363636363636 25 3.33333333333333 33 1.25 "M" 20
"41" 3.54545454545455 30 4.08333333333333 17 4 "F" 23
"42" 3.09090909090909 25 2.91666666666667 25 3 "F" 12
"43" 3.45454545454545 30 3.33333333333333 32 2.5 "M" 24
"44" 2.81818181818182 48 3.83333333333333 35 4.875 "F" 17
"45" 2.54545454545455 24 3.66666666666667 32 5 "F" 29
"46" 3.54545454545455 40 4.66666666666667 42 4.375 "F" 23
"47" 2.18181818181818 25 3.75 31 3.25 "M" 28
"48" 3.81818181818182 23 3.41666666666667 39 4 "F" 31
"49" 2.90909090909091 25 4.16666666666667 19 3.125 "F" 23
"50" 3 23 2.91666666666667 21 2.5 "F" 25
"51" 2.45454545454545 27 4.16666666666667 25 3.125 "M" 18
"52" 3.09090909090909 25 3.58333333333333 32 3.25 "M" 19
"53" 3.27272727272727 23 2.83333333333333 32 2.125 "M" 22
"54" 3 23 4 26 2.75 "F" 25
"55" 3.18181818181818 23 2.91666666666667 23 2.375 "F" 21
"56" 3.36363636363636 45 3 38 3.125 "F" 9
"57" 2.18181818181818 22 4.08333333333333 28 4 "F" 28
"58" 3.09090909090909 23 2.91666666666667 33 4 "F" 25
"59" 2.45454545454545 21 3.5 48 2.25 "M" 29
"60" 1.72727272727273 21 4.33333333333333 40 3.25 "M" 33
"61" 2.18181818181818 21 4.25 40 3.625 "F" 33
"62" 2.09090909090909 21 3.41666666666667 47 3.625 "F" 25
"63" 2.72727272727273 26 3.08333333333333 23 2.5 "F" 18
"64" 2.81818181818182 25 4.58333333333333 31 1.875 "F" 22
"65" 2.45454545454545 26 3.41666666666667 27 2 "F" 17
"66" 2.27272727272727 21 3.41666666666667 41 1.875 "M" 25
"67" 2.90909090909091 23 3.41666666666667 34 4 "F" 28
"68" 2.27272727272727 22 3.58333333333333 25 2.875 "F" 22
"69" 1.72727272727273 22 1.58333333333333 21 3.875 "F" 26
"70" 2.90909090909091 22 3.33333333333333 14 2.5 "F" 11
"71" 3 23 4.33333333333333 19 2.75 "F" 29
"72" 2.09090909090909 22 4.41666666666667 37 4.5 "M" 22
"73" 2.36363636363636 23 4.83333333333333 32 3.375 "M" 21
"74" 2.45454545454545 24 3.08333333333333 28 2.625 "M" 28
"75" 2.90909090909091 22 3 41 4.125 "F" 33
"76" 3.18181818181818 23 4.08333333333333 25 2.625 "F" 16
"77" 1.63636363636364 22 4.08333333333333 28 2.25 "M" 31
"78" 2.45454545454545 20 3.75 38 2.75 "M" 22
"79" 3.45454545454545 22 3.08333333333333 31 3 "M" 31
"80" 3 21 4.75 35 1.625 "M" 23
"81" 2.45454545454545 22 4.25 36 1.875 "F" 26
"82" 2.45454545454545 23 4.16666666666667 26 3.375 "F" 12
"83" 2.36363636363636 21 4.41666666666667 44 3.75 "M" 26
"84" 2.72727272727273 22 3.83333333333333 45 2.125 "M" 31
"85" 3.09090909090909 29 3.33333333333333 32 2.375 "M" 19
"86" 2.09090909090909 29 3.16666666666667 39 2.75 "F" 30
"87" 3.54545454545455 21 3.16666666666667 25 3.125 "F" 12
"88" 2.81818181818182 28 3.83333333333333 33 3.5 "M" 17
"89" 2.27272727272727 21 4.25 33 2.625 "F" 18
"90" 2.63636363636364 30 3.83333333333333 30 3.375 "F" 19
"91" 3.90909090909091 21 3.66666666666667 29 2.25 "F" 21
"92" 2.36363636363636 23 3.83333333333333 33 3 "M" 24
"93" 2.72727272727273 21 3.83333333333333 33 4 "F" 28
"94" 2.81818181818182 21 3.83333333333333 35 3.5 "F" 17
"95" 3 20 3.66666666666667 36 2.625 "F" 18
"96" 2.18181818181818 22 4.33333333333333 37 2.5 "M" 17
"97" 3.72727272727273 21 3.75 42 3.75 "M" 23
"98" 2.90909090909091 21 4.16666666666667 32 3.625 "M" 26
"99" 3.45454545454545 20 4 50 4.125 "F" 28
"100" 1.54545454545455 22 4 47 4.375 "M" 31
"101" 3 20 4.58333333333333 36 2.625 "F" 27
"102" 2.90909090909091 20 3.66666666666667 36 4 "F" 25
"103" 3 24 3.66666666666667 29 2.75 "M" 23
"104" 2.72727272727273 20 3.83333333333333 35 2.75 "F" 21
"105" 2.90909090909091 19 2.58333333333333 40 1.375 "F" 27
"106" 2.81818181818182 21 3.5 35 2.25 "F" 28
"107" 3.09090909090909 21 3.08333333333333 32 3.625 "F" 23
"108" 2.45454545454545 22 4.25 26 3.75 "F" 21
"109" 2.36363636363636 25 3.16666666666667 20 4 "F" 25
"110" 2.90909090909091 21 3.08333333333333 27 3.125 "F" 11
"111" 3 22 4.16666666666667 32 3.25 "F" 19
"112" 4 25 2.25 33 2.125 "F" 24
"113" 3.36363636363636 20 3.33333333333333 39 2.875 "F" 28
"114" 3.54545454545455 24 3.08333333333333 33 1.5 "M" 21
"115" 3.45454545454545 20 2.75 30 2.5 "F" 24
"116" 3.81818181818182 21 3.25 37 3.25 "M" 24
"117" 2.90909090909091 20 4 25 3.625 "F" 20
